dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 0 ms | 0 sec
dxapp.clear : 1e-006 ms | 0.001 sec
